"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Prom_Score","Sales","Client"
"Van Helsing","PS2","2004","Action","220","170","NA","60","440","64","40","85","9","74.5","0.23005333054481","406"
"Way of the Samurai 2","PS2","2003","Action","50","40","230","10","330","59","32","90","24","74.5","0.17253999790861","421"
"Duel Masters","PS2","2004","Strategy","130","100","NA","30","270","66","20","83","6","74.5","0.14116908919795","113"
"Riding Spirits","PS2","2002","Racing","130","100","NA","30","260","59","4","90","7","74.5","0.13594060441284","604"
"RoadKill","PS2","2003","Action","80","70","NA","20","170","70","27","79","NA","74.5","0.088884241346858","931"
"Shining Force NEO","PS2","2005","Role-Playing","60","40","NA","10","110","69","2","80","20","74.5","0.057513332636202","597"
"Barnyard","PS2","2006","Action","50","40","NA","10","90","62","3","87","NA","74.5","0.047056363065983","530"
"Magic Pengel: The Quest for Color","PS2","2002","Role-Playing","40","30","NA","10","70","74","24","75","2","74.5","0.036599393495765","694"
"Pro Evolution Soccer 2013","PS3","2012","Sports","180","630","490","240","1530","82","37","67","46","74.5","0.79995817212172","978"
"Call of Duty 3","PS3","2006","Shooter","600","620","30","260","1500","80","43","69","92","74.5","0.78427271776639","9"
"Far Cry 2","PS3","2008","Action","430","690","10","260","1380","85","49","64","240","74.5","0.72153090034508","302"
"LEGO Star Wars III: The Clone Wars","PS3","2011","Action","520","460","NA","190","1160","76","36","73","34","74.5","0.60650423507268","358"
"WWE 2K14","PS3","2013","Sports","490","460","NA","190","1140","74","22","75","20","74.5","0.59604726550246","105"
" Tales of Xillia 2","PS3","2012","Role-Playing","200","120","450","70","840","70","59","79","206","74.5","0.43919272194918","568"
"NCAA Football 10","PS3","2009","Sports","750","NA","NA","60","810","80","20","69","4","74.5","0.42350726759385","154"
"Warriors Orochi 3","PS3","2011","Action","NA","40","570","10","620","70","7","79","35","74.5","0.32416605667678","839"
"Alice: Madness Returns","PS3","2011","Adventure","220","240","40","80","580","70","50","79","80","74.5","0.30325211753634","371"
"Kung Fu Panda","PS3","2008","Action","210","210","NA","90","510","76","23","73","8","74.5","0.26665272404057","930"
"R.U.S.E.","PS3","2010","Strategy","180","220","20","80","500","76","37","73","50","74.5","0.26142423925546","969"
"Spider-Man: Shattered Dimensions","PS3","2010","Action","260","120","NA","50","440","74","57","75","96","74.5","0.23005333054481","811"
"The BIGS","PS3","2007","Sports","150","NA","NA","10","160","77","9","72","2","74.5","0.083655756561748","590"
"Overlord: Raising Hell","PS3","2008","Action","70","30","NA","20","120","72","35","77","27","74.5","0.062741817421311","681"
"DuckTales: Remastered","PS3","2013","Action","10","30","NA","10","50","75","30","74","35","74.5","0.026142423925546","780"
"LittleBigPlanet 3","PS4","2014","Platform","660","930","10","310","1910","79","78","70","506","74.5","0.99864059395587","656"
"Project CARS","PS4","2015","Racing","200","700","20","160","1090","83","37","66","363","74.5","0.56990484157691","715"
"God Eater 2: Rage Burst","PS4","2015","Role-Playing","NA","10","90","NA","110","69","35","80","79","74.5","0.057513332636202","342"
"The Book of Unwritten Tales 2","PS4","2015","Adventure","NA","60","NA","10","70","63","9","86","7","74.5","0.036599393495765","680"
"Kung Fu Panda","X360","2008","Action","1910","840","NA","290","3040","75","42","74","32","74.5","0.35039996311579","837"
"Madden NFL 08","X360","2007","Sports","2180","10","NA","180","2370","85","46","64","8","74.5","0.2731736554554","417"
"Batman: Arkham Origins","X360","2013","Action","1150","560","NA","170","1880","74","46","75","685","74.5","0.21669471403214","707"
"Hitman: Absolution","X360","2012","Action","680","880","10","170","1730","79","50","70","453","74.5","0.19940524216787","367"
"Lost Planet: Extreme Condition","X360","2006","Shooter","1090","40","100","100","1340","79","76","70","87","74.5","0.15445261532078","878"
"WWE SmackDown vs. Raw 2009","X360","2008","Fighting","580","260","NA","80","920","79","47","70","34","74.5","0.10604209410083","349"
"Tom Clancy's EndWar","X360","2008","Strategy","580","240","10","90","910","77","63","72","53","74.5","0.10488946264321","20"
"Major League Baseball 2K7","X360","2007","Sports","670","NA","NA","60","720","79","30","70","34","74.5","0.082989464948477","945"
"NHL 13","X360","2012","Sports","510","100","NA","50","660","83","44","66","86","74.5","0.076073676202771","951"
"Tiger Woods PGA Tour 10","X360","2009","Sports","390","200","NA","60","650","80","50","69","20","74.5","0.074921044745153","711"
"Sega Rally Revo","X360","2007","Racing","120","280","NA","50","450","77","42","72","30","74.5","0.051868415592798","567"
"TimeShift","X360","2007","Shooter","360","20","NA","30","410","70","58","79","63","74.5","0.047257889762327","927"
"EA Sports MMA","X360","2010","Fighting","230","90","NA","20","350","79","63","70","55","74.5","0.040342101016621","851"
"Resident Evil: Revelations","X360","2013","Action","120","100","20","20","260","75","30","74","70","74.5","0.029968417898061","608"
"College Hoops 2K8","X360","2007","Sports","160","NA","NA","10","180","80","20","69","6","74.5","0.020747366237119","266"
"Universe at War: Earth Assault","X360","2008","Action","90","10","NA","10","100","66","44","83","57","74.5","0.011526314576177","146"
"Stoked: Big Air Edition","X360","2009","Sports","20","20","NA","NA","40","72","20","77","6","74.5","0.004610525830471","675"
"Medal of Honor: Frontline","XB","2002","Shooter","1000","430","NA","60","1490","80","8","69","23","74.5","0.17174208718504","891"
"Sonic Heroes","XB","2003","Platform","410","430","10","50","900","73","28","76","34","74.5","0.1037368311856","576"
"Harry Potter and the Chamber of Secrets","XB","2002","Action","270","80","NA","10","360","77","3","72","2","74.5","0.041494732474239","544"
"Cabela's Deer Hunt: 2004 Season","XB","2003","Sports","160","50","NA","10","210","65","5","84","6","74.5","0.024205260609973","917"
"Spawn: Armageddon","XB","2003","Action","130","40","NA","10","170","57","27","92","5","74.5","0.019594734779502","939"
"Cel Damage","XB","2001","Racing","90","30","NA","NA","120","65","24","84","7","74.5","0.013831577491413","601"
"Project: Snowblind","XB","2005","Action","80","20","NA","NA","110","79","44","70","NA","74.5","0.012678946033795","672"
"Pump It Up: Exceed","XB","2005","Misc","10","NA","NA","NA","20","74","9","75","4","74.5","0.0023052629152355","494"
"Tom Clancy's The Division","XOne","2016","Shooter","1290","680","NA","200","2160","80","33","69","604","74.5","0.24896839484543","899"
"LEGO Dimensions","XOne","2015","Action","220","150","NA","40","410","80","2","69","27","74.5","0.047257889762327","284"
"Broken Sword 5: The Serpent's Curse","XOne","2015","Adventure","NA","20","NA","NA","20","77","2","72","NA","74.5","0.0023052629152355","87"
"The Sims: Livin Large","PC","2000","Misc","1670","1180","NA","130","2990","82","23","66","20","74","0.3446368058277","379"
"Titanfall","PC","2014","Shooter","220","300","NA","40","560","86","29","62","727","74","0.064547361626594","747"
"Tom Clancy's Rainbow Six: Siege","PC","2015","Shooter","130","80","NA","20","230","79","37","69","734","74","0.026510523525208","189"
"Dead Island","PC","2011","Action","120","70","NA","30","220","80","24","68","428","74","0.02535789206759","725"
"Warhammer 40,000: Space Marine","PC","2011","Shooter","90","90","NA","30","200","74","34","74","596","74","0.023052629152355","436"
"The Sims 3: Seasons","PC","2012","Simulation","NA","130","NA","20","160","73","2","75","48","74","0.018442103321884","179"
"ArmA III","PC","2013","Shooter","NA","100","NA","10","110","74","38","74","866","74","0.012678946033795","543"
"Silent Hunter: Wolves of the Pacific","PC","2007","Simulation","NA","40","NA","10","50","79","22","69","40","74","0.0057631572880887","360"
"Scarface: The World is Yours","PC","2006","Action","10","20","NA","NA","40","73","8","75","57","74","0.004610525830471","131"
"Trials Fusion","PC","2014","Racing","NA","30","NA","NA","30","80","2","68","97","74","0.0034578943728532","569"
"Battlefield 2142","PC","2006","Shooter","NA","20","NA","NA","30","80","48","68","326","74","0.0034578943728532","312"
"Kung Fu Panda","PC","2008","Action","NA","20","NA","NA","20","70","NA","78","2","74","0.0023052629152355","256"
"The Crew: Wild Run","PC","2015","Action","NA","20","NA","NA","20","74","6","74","40","74","0.0023052629152355","930"
"Commandos 3: Destination Berlin","PC","2003","Strategy","NA","20","NA","NA","20","72","24","76","83","74","0.0023052629152355","506"
"Just Cause","PC","2006","Action","NA","10","NA","NA","20","75","20","73","206","74","0.0023052629152355","39"
"FIFA Soccer 2004","PS2","2003","Sports","590","2360","40","510","3490","84","20","64","76","74","0.40226837870859","292"
"FIFA Soccer 08","PS2","2007","Sports","680","NA","NA","2460","3140","83","2","65","36","74","0.36192627769197","731"
"Dragon Ball Z: Budokai 2","PS2","2003","Fighting","1630","220","510","60","2410","66","28","82","92","74","0.27778418128588","753"
"SingStar Pop","PS2","2007","Misc","40","1080","NA","320","1440","73","3","75","8","74","0.16597892989695","465"
"Star Wars: Bounty Hunter","PS2","2002","Shooter","530","420","NA","140","1090","65","32","83","33","74","0.12563682888033","46"
"The Matrix: Path of Neo","PS2","2005","Action","410","10","NA","70","490","69","42","79","42","74","0.056478941423269","768"
"EyeToy: AntiGrav","PS2","2004","Sports","360","10","NA","60","430","70","38","78","5","74","0.049563152677563","111"
"Ice Age 2: The Meltdown","PS2","2006","Platform","190","150","NA","50","390","68","9","80","6","74","0.044952626847092","171"
"Risk: Global Domination","PS2","2003","Strategy","190","150","NA","50","380","60","9","88","25","74","0.043799995389474","224"
"EyeToy Play 2","PS2","2004","Misc","180","140","NA","50","380","78","30","70","9","74","0.043799995389474","404"
"Disgaea 2: Cursed Memories","PS2","2006","Role-Playing","90","70","150","20","330","84","54","64","42","74","0.038036838101385","27"
"Ultimate Fighting Championship: Throwdown","PS2","2002","Fighting","160","120","NA","40","320","68","9","80","8","74","0.036884206643768","198"
"The Sims 2: Pets","PS2","2006","Simulation","20","10","NA","270","300","68","27","80","25","74","0.034578943728532","410"
"Syphon Filter: Dark Mirror","PS2","2007","Shooter","140","110","NA","40","280","70","24","78","2","74","0.032273680813297","706"
"Rise of the Kasai","PS2","2005","Action","90","70","NA","20","190","68","37","80","5","74","0.021899997694737","735"
"Ty the Tasmanian Tiger 3: Night of the Quinkan","PS2","2005","Action","90","70","NA","20","190","68","3","80","5","74","0.021899997694737","78"
"Armored Core: Last Raven","PS2","2005","Simulation","50","40","80","10","180","59","6","89","4","74","0.020747366237119","598"
"Terminator 3: The Redemption","PS2","2004","Shooter","80","60","NA","20","170","68","29","80","NA","74","0.019594734779502","277"
"FlatOut 2","PS2","2006","Racing","80","60","NA","20","160","73","44","75","27","74","0.018442103321884","401"
"Baroque","PS2","2007","Role-Playing","50","40","20","10","130","60","6","88","44","74","0.014984208949031","215"
"Worms 3D","PS2","2003","Strategy","60","50","NA","20","120","70","30","78","22","74","0.013831577491413","51"
"Puzzle Quest: Challenge of the Warlords","PS2","2007","Puzzle","60","50","NA","20","120","78","NA","70","6","74","0.013831577491413","905"
"Guilty Gear Isuka","PS2","2004","Fighting","50","40","NA","10","100","73","39","75","3","74","0.011526314576177","755"
"Project Eden","PS2","2001","Action","40","30","NA","10","90","70","20","78","8","74","0.01037368311856","161"
"RPG Maker 3","PS2","2004","Role-Playing","30","20","NA","10","60","69","6","79","4","74","0.0069157887457064","403"
"Giants: Citizen Kabuto","PS2","2001","Shooter","30","20","NA","10","60","79","5","69","8","74","0.0069157887457064","487"
"Rugby 06","PS2","2006","Sports","20","20","NA","10","50","70","6","78","27","74","0.0057631572880887","479"
"Echo Night Beyond","PS2","2004","Adventure","20","10","NA","NA","40","60","22","88","8","74","0.004610525830471","66"
"Rugby 08","PS2","2007","Sports","20","10","NA","NA","40","74","20","74","25","74","0.004610525830471","437"
"Mass Effect 3","PS3","2012","Role-Playing","630","560","30","200","1420","93","30","55","849","74","0.16367366698172","778"
"Ridge Racer 7","PS3","2006","Racing","240","700","160","260","1360","78","45","70","52","74","0.15675787823601","439"
"Need for Speed Carbon","PS3","2006","Racing","490","500","30","200","1230","75","30","73","42","74","0.14177366928698","27"
"Tom Clancy's Ghost Recon: Future Soldier","PS3","2012","Shooter","410","320","90","120","950","79","8","69","56","74","0.10949998847369","756"
"WWE SmackDown vs. Raw 2009","PS3","2008","Fighting","510","300","10","120","940","78","37","70","49","74","0.10834735701607","181"
"The LEGO Movie Videogame","PS3","2014","Action","330","430","20","150","930","80","5","68","2","74","0.10719472555845","545"
"SSX","PS3","2012","Sports","350","410","20","140","910","80","38","68","NA","74","0.10488946264321","98"
"MX vs. ATV Reflex","PS3","2009","Racing","520","250","NA","120","900","74","44","74","NA","74","0.1037368311856","554"
"One Piece: Pirate Warriors 2","PS3","2013","Action","NA","190","420","50","660","70","35","78","60","74","0.076073676202771","139"
"Tony Hawk's Project 8","PS3","2006","Sports","300","220","10","100","630","76","43","72","4","74","0.072615781829918","480"
"NBA 2K8","PS3","2007","Sports","500","10","NA","50","550","80","8","68","9","74","0.063394730168976","624"
"Dark Sector","PS3","2008","Shooter","230","160","10","70","470","72","47","76","70","74","0.054173678508034","823"
"Naruto Shippuden: Ultimate Ninja Storm Revolution","PS3","2014","Fighting","150","140","90","60","430","73","26","75","NA","74","0.049563152677563","114"
"MLB 14: The Show","PS3","2014","Sports","350","NA","NA","80","430","80","26","68","79","74","0.049563152677563","227"
"GRID 2","PS3","2013","Racing","70","220","10","80","370","82","20","66","73","74","0.042647363931856","37"
"Overlord II","PS3","2009","Action","110","150","NA","60","320","72","42","76","24","74","0.036884206643768","729"
"SBK X: Superbike World Championship","PS3","2010","Racing","50","120","NA","40","210","73","4","75","4","74","0.024205260609973","849"
"Arcana Heart 3","PS3","2011","Fighting","40","40","100","20","200","73","NA","75","27","74","0.023052629152355","895"
"Dengeki Bunko Fighting Climax","PS3","2014","Fighting","50","NA","90","10","160","66","3","82","29","74","0.018442103321884","405"
"Blazblue: Continuum Shift Extend","PS3","2011","Fighting","NA","NA","90","NA","90","73","6","75","27","74","0.01037368311856","514"
"Battle Princess of Arcadias","PS3","2013","Role-Playing","NA","NA","20","NA","20","69","22","79","25","74","0.0023052629152355","523"
"The Evil Within","PS4","2014","Action","550","860","110","270","1790","75","65","73","223","74","0.20632103091358","852"
"One Piece: Pirate Warriors 3","PS4","2015","Action","90","220","100","60","460","74","34","74","8","74","0.053021047050416","810"
"Batman: Arkham VR","PS4","2016","Action","250","NA","NA","60","300","75","59","73","89","74","0.034578943728532","784"
"God Eater Resurrection","PS4","2015","Action","NA","NA","80","NA","80","70","8","78","44","74","0.0092210516609419","785"
"Exist Archive: The Other Side of the Sky","PS4","2015","Role-Playing","10","NA","30","NA","40","69","3","79","6","74","0.004610525830471","286"
"Infamous: First Light","PS4","2014","Action","NA","30","NA","NA","30","73","70","75","580","74","0.0034578943728532","951"
"Dead Rising 2","PS4","2016","Action","10","NA","10","NA","30","82","4","66","8","74","0.0034578943728532","206"
"Guitar Hero: World Tour","X360","2008","Misc","1780","630","NA","250","2660","85","67","63","70","74","0.30659996772632","49"
"Need for Speed: Shift","X360","2009","Racing","730","960","10","220","1910","83","75","65","34","74","0.22015260840499","938"
"Army of Two","X360","2008","Shooter","1090","370","20","160","1640","72","76","76","233","74","0.18903155904931","432"
"Dead Rising 2","X360","2010","Action","750","520","90","120","1490","79","76","69","206","74","0.17174208718504","787"
"Your Shape: Fitness Evolved","X360","2010","Sports","790","410","NA","110","1320","73","32","75","25","74","0.15214735240554","874"
"NCAA Football 12","X360","2011","Sports","940","NA","NA","60","990","82","25","66","49","74","0.11411051430416","722"
"NCAA Football 07","X360","2006","Sports","670","NA","NA","60","730","79","43","69","20","74","0.084142096406095","75"
"Stuntman: Ignition","X360","2007","Racing","250","310","NA","70","640","75","38","73","30","74","0.073768413287535","215"
"Sesame Street: Once Upon A Monster","X360","2011","Misc","390","90","NA","40","520","79","26","69","22","74","0.059936835796123","20"
"Dragon Ball Z: Burst Limit","X360","2008","Fighting","240","180","30","50","490","72","50","76","40","74","0.056478941423269","416"
"Viking: Battle for Asgard","X360","2008","Action","160","230","NA","50","440","68","67","80","88","74","0.050715784135181","691"
"R.U.S.E.","X360","2010","Strategy","120","110","NA","20","270","78","45","70","38","74","0.031121049355679","492"
"Full Auto","X360","2006","Shooter","190","10","NA","20","220","70","63","78","36","74","0.02535789206759","581"
"Earth Defense Force 2025","X360","2013","Shooter","60","30","50","10","150","68","25","80","63","74","0.017289471864266","425"
"NHL 2K10","X360","2009","Sports","110","20","NA","10","150","69","30","79","5","74","0.017289471864266","542"
"Rango: The Video Game","X360","2011","Action","60","60","NA","10","130","68","25","80","9","74","0.014984208949031","363"
"Castlevania: Lords of Shadow 2","X360","2014","Action","20","60","NA","10","90","70","22","78","239","74","0.01037368311856","897"
"Raiden Fighters Aces","X360","2008","Shooter","60","20","NA","10","80","73","NA","75","2","74","0.0092210516609419","698"
"Virtua Tennis 3","X360","2007","Sports","30","10","NA","NA","40","80","34","68","26","74","0.004610525830471","64"
"Need for Speed Carbon","XB","2006","Racing","350","100","NA","20","470","74","9","74","NA","74","0.054173678508034","83"
"Dance Dance Revolution Ultramix 2","XB","2004","Simulation","320","90","NA","20","420","78","6","70","7","74","0.048410521219945","238"
"Star Wars Jedi Knight II: Jedi Outcast","XB","2002","Shooter","230","70","NA","10","310","80","24","68","5","74","0.03573157518615","884"
"Midway Arcade Treasures 2","XB","2004","Misc","240","50","NA","10","310","74","38","74","7","74","0.03573157518615","850"
"NCAA March Madness 06","XB","2005","Sports","150","40","NA","10","200","76","20","72","5","74","0.023052629152355","901"
"Tiger Woods PGA Tour 07","XB","2006","Sports","130","50","NA","10","190","80","20","68","6","74","0.021899997694737","461"
"Cabela's Big Game Hunter 2005 Adventures","XB","2004","Sports","130","40","NA","10","180","65","5","83","6","74","0.020747366237119","312"
"Speed Kings","XB","2003","Racing","40","10","NA","NA","50","60","6","88","4","74","0.0057631572880887","122"
"IndyCar Series","XB","2003","Racing","40","10","NA","NA","50","70","8","78","5","74","0.0057631572880887","463"
"Halo 5: Guardians","XOne","2015","Shooter","2780","1270","30","410","4480","84","NA","64","2438","74","0.51637889301275","778"
"NBA 2K16","XOne","2015","Sports","1950","150","NA","240","2340","86","4","62","5","74","0.26971576108255","970"
"Far Cry 4","PC","2014","Shooter","150","440","NA","40","630","80","7","67","64","73.5","0.072615781829918","7"
"The Sims 3: Ambitions","PC","2010","Simulation","NA","290","NA","170","460","74","25","73","50","73.5","0.053021047050416","147"
"Hearts of Iron III","PC","2009","Strategy","20","40","NA","10","70","77","23","70","233","73.5","0.0080684202033242","410"
"Cities in Motion","PC","2011","Simulation","NA","40","NA","10","50","70","20","77","5","73.5","0.0057631572880887","147"
"Worms Reloaded","PC","2010","Strategy","NA","40","NA","10","50","79","28","68","85","73.5","0.0057631572880887","685"
"Wolfenstein","PC","2009","Shooter","10","30","NA","10","50","74","40","73","260","73.5","0.0057631572880887","472"
"Resident Evil: Revelations","PC","2013","Action","NA","40","NA","NA","40","77","2","70","342","73.5","0.004610525830471","191"
"Alpha Protocol","PC","2010","Role-Playing","NA","30","NA","10","30","72","25","75","500","73.5","0.0034578943728532","76"
"Warhammer: Mark of Chaos","PC","2006","Strategy","NA","20","NA","NA","30","73","32","74","57","73.5","0.0034578943728532","767"
"The Sims 2: Bon Voyage","PC","2007","Simulation","10","10","NA","NA","30","74","9","73","24","73.5","0.0034578943728532","54"
"Bully: Scholarship Edition","PC","2008","Action","NA","20","NA","NA","30","72","NA","75","257","73.5","0.0034578943728532","30"
"Neverwinter Nights 2","PC","2006","Role-Playing","NA","20","NA","NA","20","82","46","65","565","73.5","0.0023052629152355","798"
"TrackMania Turbo","PC","2016","Action","NA","10","NA","NA","10","79","3","68","42","73.5","0.0011526314576177","911"
"Pro Evolution Soccer 2010","PC","2009","Sports","NA","10","NA","NA","10","78","8","69","49","73.5","0.0011526314576177","865"
"Smuggler's Run","PS2","2000","Racing","770","600","NA","200","1560","79","20","68","8","73.5","0.17981050738837","525"
"Test Drive","PS2","2002","Racing","950","210","10","180","1340","73","9","74","23","73.5","0.15445261532078","780"
"WWE SmackDown vs. Raw 2009","PS2","2008","Fighting","690","NA","NA","550","1240","78","9","69","34","73.5","0.1429263007446","372"
"NHL 2003","PS2","2002","Sports","460","360","NA","120","930","79","20","68","8","73.5","0.10719472555845","378"
"Dynasty Warriors 5: Xtreme Legends","PS2","2005","Action","110","80","350","30","570","57","22","90","26","73.5","0.065699993084211","746"
"Oni","PS2","2001","Action","260","200","NA","70","530","69","24","78","22","73.5","0.06108946725374","949"
"X-Men: Next Dimension","PS2","2002","Fighting","230","180","NA","60","470","60","9","87","3","73.5","0.054173678508034","208"
"SWAT: Global Strike Team","PS2","2003","Shooter","160","120","NA","40","320","69","20","78","6","73.5","0.036884206643768","1"
"Chaos Legion","PS2","2003","Action","150","120","NA","40","300","65","34","82","58","73.5","0.034578943728532","610"
"Breath of Fire: Dragon Quarter","PS2","2002","Role-Playing","90","70","NA","20","190","78","28","69","35","73.5","0.021899997694737","607"
"Conflict: Global Terror","PS2","2005","Shooter","90","70","NA","20","190","62","5","85","NA","73.5","0.021899997694737","576"
"Smash Court Tennis Pro Tournament","PS2","2002","Sports","80","70","NA","20","170","73","5","74","NA","73.5","0.019594734779502","505"
"Warhammer 40,000: Fire Warrior","PS2","2003","Shooter","80","60","NA","20","150","64","23","83","63","73.5","0.017289471864266","662"
"Eternal Poison","PS2","2008","Role-Playing","70","50","NA","20","140","65","NA","82","9","73.5","0.016136840406648","988"
"The Operative: No One Lives Forever","PS2","2002","Shooter","70","50","NA","20","140","67","23","80","6","73.5","0.016136840406648","769"
"F1 Career Challenge","PS2","2003","Racing","50","40","NA","10","100","70","5","77","5","73.5","0.011526314576177","451"
"Bujingai: The Forsaken City","PS2","2003","Fighting","50","40","NA","10","100","72","28","75","4","73.5","0.011526314576177","414"
"Ar tonelico: Melody of Elemia","PS2","2006","Role-Playing","NA","NA","100","NA","100","70","30","77","43","73.5","0.011526314576177","530"
"Stuart Little 3: Big Photo Adventure","PS2","2005","Platform","40","30","NA","10","80","70","5","77","7","73.5","0.0092210516609419","919"
"Silpheed: The Lost Planet","PS2","2000","Shooter","30","30","NA","10","70","72","2","75","4","73.5","0.0080684202033242","248"
"Warship Gunner 2","PS2","2006","Simulation","10","10","NA","NA","30","62","3","85","NA","73.5","0.0034578943728532","502"
"Resistance 2","PS3","2008","Shooter","1150","840","100","380","2460","87","79","60","889","73.5","0.28354733857396","978"
"LEGO Star Wars: The Complete Saga","PS3","2007","Action","1020","900","NA","360","2290","80","8","67","87","73.5","0.26395260379446","722"
"Dead Rising 2","PS3","2010","Action","430","560","150","210","1360","80","54","67","78","73.5","0.15675787823601","262"
"WWE SmackDown vs Raw 2008","PS3","2007","Fighting","620","490","10","200","1330","74","27","73","40","73.5","0.15329998386316","246"
"Assassin's Creed: Rogue","PS3","2014","Action","460","560","60","200","1290","72","53","75","292","73.5","0.14868945803269","427"
"Tomb Raider: Underworld","PS3","2008","Action","450","550","50","220","1260","75","42","72","66","73.5","0.14523156365984","188"
"Army of Two","PS3","2008","Shooter","740","260","20","150","1170","74","43","73","8","73.5","0.13485788054128","996"
"PlayStation All-Stars Battle Royale","PS3","2012","Action","500","270","40","150","950","74","69","73","540","73.5","0.10949998847369","791"
"SoulCalibur V","PS3","2012","Fighting","350","230","70","90","750","80","53","67","50","73.5","0.086447359321331","244"
"[Prototype 2]","PS3","2012","Action","360","280","NA","100","740","79","39","68","79","73.5","0.085294727863713","466"
"Marvel: Ultimate Alliance 2","PS3","2009","Role-Playing","490","150","NA","90","730","74","48","73","50","73.5","0.084142096406095","6"
"Just Dance 4","PS3","2012","Misc","260","110","NA","60","430","77","5","70","29","73.5","0.049563152677563","394"
"Just Dance 2014","PS3","2013","Misc","170","140","NA","60","380","77","6","70","25","73.5","0.043799995389474","707"
"WWE 2K16","PS4","2015","Sports","410","600","NA","200","1210","73","47","74","237","73.5","0.13946840637175","104"
"Senran Kagura: Estival Versus","PS4","2015","Action","80","NA","80","20","180","67","25","80","96","73.5","0.020747366237119","695"
"Kinect Sports","X360","2010","Sports","3920","1730","30","510","6190","73","50","74","95","73.5","0.71347887226538","169"
"Call of Duty 3","X360","2006","Shooter","1490","920","20","270","2700","82","70","65","233","73.5","0.31121049355679","216"
"Just Dance 3","X360","2011","Misc","1470","390","NA","160","2020","70","34","77","7","73.5","0.23283155443878","398"
"Mortal Kombat vs. DC Universe","X360","2008","Fighting","1530","230","NA","160","1930","72","60","75","87","73.5","0.22245787132022","969"
"Rage","X360","2011","Shooter","820","600","30","150","1600","80","77","67","559","73.5","0.18442103321884","828"
"The Simpsons Game","X360","2007","Action","540","390","NA","110","1030","70","52","77","70","73.5","0.11872104013463","984"
"Wolfenstein","X360","2009","Shooter","280","220","NA","60","560","72","66","75","28","73.5","0.064547361626594","646"
"Naruto Shippuden: Ultimate Ninja Storm 3","X360","2013","Fighting","290","160","10","50","510","70","6","77","67","73.5","0.058784204338505","745"
"Dark Sector","X360","2008","Shooter","220","200","10","50","480","72","70","75","47","73.5","0.055326309965652","415"
"WWE All Stars","X360","2011","Fighting","180","140","NA","30","340","75","64","72","45","73.5","0.039189469559003","669"
"Overlord II","X360","2009","Action","150","140","NA","30","320","75","60","72","46","73.5","0.036884206643768","613"
"Tony Hawk's American Wasteland","X360","2005","Sports","280","10","NA","30","320","75","43","72","20","73.5","0.036884206643768","107"
"Dead Rising 2: Off the Record","X360","2011","Action","170","80","NA","20","270","72","48","75","60","73.5","0.031121049355679","698"
"NASCAR 09","X360","2008","Racing","230","NA","NA","20","250","69","32","78","5","73.5","0.028815786440444","744"
"Ridge Racer Unbounded","X360","2012","Racing","50","50","NA","10","110","70","59","77","56","73.5","0.012678946033795","317"
"Close Combat: First to Fight","XB","2005","Shooter","140","40","NA","10","180","69","46","78","NA","73.5","0.020747366237119","698"
"Test Drive Off-Road Wide Open","XB","2001","Racing","150","30","NA","10","180","64","20","83","9","73.5","0.020747366237119","442"
"Rocky","XB","2002","Fighting","110","30","NA","10","150","74","22","73","6","73.5","0.017289471864266","937"
"Crash Tag Team Racing","XB","2005","Racing","90","30","NA","NA","130","69","7","78","NA","73.5","0.014984208949031","80"
"Worms Forts: Under Siege","XB","2004","Strategy","50","10","NA","NA","70","67","5","80","6","73.5","0.0080684202033242","308"
"Operation Flashpoint: Elite","XB","2005","Shooter","30","10","NA","NA","40","64","24","83","27","73.5","0.004610525830471","43"
"ScrapLand","XB","2005","Action","20","NA","NA","NA","20","73","20","74","5","73.5","0.0023052629152355","811"
"Pro Evolution Soccer 2016","XOne","2015","Sports","40","60","NA","10","110","85","4","62","44","73.5","0.012678946033795","76"
"Wasteland 2","XOne","2015","Role-Playing","40","10","NA","10","50","77","3","70","56","73.5","0.0057631572880887","273"
"Pro Evolution Soccer 2017","XOne","2016","Sports","10","30","NA","NA","50","87","2","60","84","73.5","0.0057631572880887","192"
"World of Warcraft: Cataclysm","PC","2010","Role-Playing","1770","320","NA","NA","2080","90","53","56","953","73","0.23974734318449","340"
"World of Warcraft: Warlords of Draenor","PC","2014","Action","80","360","NA","30","470","87","49","59","54","73","0.054173678508034","396"
"Kingdoms of Amalur: Reckoning","PC","2012","Role-Playing","140","130","NA","30","300","80","25","66","97","73","0.034578943728532","324"
"Dishonored 2","PC","2016","Action","40","70","NA","10","120","86","37","60","383","73","0.013831577491413","3"
"The Whispered World","PC","2009","Adventure","NA","80","NA","20","100","70","40","76","77","73","0.011526314576177","771"
"LEGO Indiana Jones 2: The Adventure Continues","PC","2009","Action","20","30","NA","10","50","66","3","80","9","73","0.0057631572880887","285"
"TimeShift","PC","2007","Shooter","10","NA","NA","NA","10","70","30","76","24","73","0.0011526314576177","301"
"Dragon Ball Z: Budokai","PS2","2002","Fighting","2170","280","550","80","3090","67","28","79","70","73","0.35616312040388","573"
"Harry Potter and the Chamber of Secrets","PS2","2002","Action","900","1220","40","440","2610","70","6","76","49","73","0.30083681043823","768"
"Crash Nitro Kart","PS2","2003","Racing","740","1010","NA","200","1950","69","24","77","59","73","0.22476313423546","59"
