"Name","Platform","Year_of_Release","Genre","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count"
"Transworld Surf","PS2","2002","Sports","0.09","0.07","0","0.02","0.19","76","15","8.50","6"
"Tenchu: Fatal Shadows","PS2","2004","Action","0.09","0.07","0","0.02","0.19","58","33","8.00","24"
"50 Cent: Blood on the Sand","PS3","2009","Shooter","0.1","0.06","0.01","0.03","0.19","72","37","7.20","57"
"Metro: Last Light","PC","2013","Action","0.06","0.11","0","0.02","0.19","82","71","8.60","2654"
"Evolve","PC","2015","Shooter","0.08","0.1","0","0.02","0.19","77","39","4.30","969"
"FIFA 14","PSP","2013","Sports","0","0.15","0","0.04","0.19","1","1","3.40","23"
"Resident Evil: Revelations","WiiU","2013","Action","0.07","0.07","0.03","0.01","0.19","80","19","7.50","146"
"Namco Museum Megamix","Wii","2010","Misc","0.17","0","0","0.01","0.19","53","12","1.00","1"
"Chaotic: Shadow Warriors","Wii","2009","Action","0.18","0","0","0.01","0.19","1","1","1.00","1"
"The Legend of Spyro: A New Beginning","GC","2006","Platform","0.15","0.04","0","0.01","0.19","67","13","7.30","11"
"International Soccer","Atari 2600","1981","Sports","0.18","0.01","0","0","0.19","1","1","1.00","1"
"Princess Maker: Yumemiru Yosei","PS","1997","Strategy","0","0","0.18","0.01","0.19","1","1","1.00","1"
"3rd Super Robot Wars Z: Tengoku-Hen","PSV","2015","Action","0","0","0.19","0","0.19","1","1","1.00","1"
"Armored Core: For Answer","PS3","2008","Simulation","0.06","0.02","0.1","0.01","0.19","62","22","7.60","31"
"Big Air","PS","1999","Sports","0.1","0.07","0","0.01","0.19","1","1","1.00","1"
"Shining Force II","GEN","1993","Strategy","0","0","0.19","0","0.19","1","1","1.00","1"
"Taiko no Tatsujin: Wii U Version!","WiiU","2013","Misc","0","0","0.19","0","0.19","1","1","1.00","1"
"Gallop Racer","PS","1999","Sports","0","0","0.18","0.01","0.19","1","1","1.00","1"
"The Walking Dead: Season Two","PS3","2014","Adventure","0.09","0.06","0","0.03","0.19","1","1","1.00","1"
"Harry Potter and the Prisoner of Azkaban","XB","2004","Action","0.14","0.04","0","0.01","0.19","67","23","8.80","10"
"3rd Super Robot Wars Z Jigoku Hen","PSV","2014","Role-Playing","0","0","0.19","0","0.19","1","1","1.00","1"
"Where's Waldo? The Fantastic Journey","Wii","2009","Adventure","0.17","0","0","0.01","0.19","1","1","1.00","1"
"Sudoku Gridmaster (JP sales)","DS","2006","Puzzle","0","0","0.19","0","0.19","1","1","1.00","1"
"Monsters vs. Aliens","PS2","2009","Action","0.11","0","0","0.08","0.19","64","4","1.00","1"
"College Slam","PS","1995","Sports","0.1","0.07","0","0.01","0.19","1","1","1.00","1"
"Street Fighter X Tekken","PSV","2012","Fighting","0.1","0.04","0.01","0.03","0.19","79","25","7.50","66"
"Nobunaga no Yabou: Souzou","PS3","2013","Strategy","0","0","0.19","0","0.19","1","1","1.00","1"
"The Legend of Heroes: Trails of Cold Steel II","PSV","2014","Role-Playing","0.02","0.02","0.13","0.01","0.19","80","23","7.30","73"
"Pro Yaky? Spirits 4","PS2","2007","Sports","0","0","0.19","0","0.19","1","1","1.00","1"
"Rock Band Track Pack Volume 2","X360","2008","Misc","0.17","0.01","0","0.01","0.19","1","1","1.00","1"
"Need for Speed: Shift 2 Unleashed","PC","2011","Racing","0.05","0.11","0","0.03","0.19","1","1","1.00","1"
"Tamagotchi Party On!","Wii","2006","Misc","0.12","0","0.06","0.01","0.19","1","1","1.00","1"
"Daigasso! Band Brothers","DS","2004","Misc","0","0","0.19","0","0.19","1","1","1.00","1"
"Rise of the Kasai","PS2","2005","Action","0.09","0.07","0","0.02","0.19","68","37","8.00","5"
"Thoroughbred Breeder","SNES","1993","Simulation","0","0","0.19","0","0.19","1","1","1.00","1"
"Momotarou Dentetsu World","DS","2010","Misc","0","0","0.19","0","0.19","1","1","1.00","1"
"Singstar: Ultimate Party","PS4","2014","Misc","0","0.16","0","0.03","0.19","47","19","4.10","18"
"Beyblade: Metal Fusion - Battle Fortress","Wii","2009","Action","0.15","0","0.03","0.01","0.19","1","1","1.00","1"
"Risen","X360","2009","Role-Playing","0.07","0.11","0","0.01","0.19","60","37","6.40","77"
"Nostalgia","DS","2008","Role-Playing","0.16","0","0.02","0.01","0.19","72","36","7.60","19"
"Dynasty Warriors Gundam","X360","2007","Action","0.15","0.01","0.02","0.01","0.19","55","34","6.80","20"
"Chibi-Robo! Park Patrol","DS","2007","Adventure","0","0","0.19","0","0.19","78","14","7.50","13"
"Jurassic: The Hunted","PS3","2009","Shooter","0.17","0","0","0.02","0.19","1","1","4.50","4"
"Farmtopia","DS","2010","Simulation","0.18","0","0","0.01","0.19","1","1","1.00","1"
"DanceDanceRevolution","PS3","2010","Simulation","0.12","0.05","0","0.02","0.19","60","5","1.00","1"
"Tom Clancy's Splinter Cell: Blacklist","PC","2013","Action","0.04","0.13","0","0.01","0.19","82","13","7.40","754"
"Ni Hao, Kai-lan: Super Game Day","Wii","2009","Misc","0.17","0","0","0.01","0.19","1","1","8.50","4"
"One Piece: Unlimited Adventure","Wii","2007","Adventure","0.07","0","0.11","0.01","0.19","67","17","8.50","32"
"Shaun White Skateboarding","PS3","2010","Sports","0.11","0.05","0","0.03","0.19","61","26","6.50","8"
"Crash & Spyro Superpack","GBA","2005","Platform","0.13","0.05","0","0","0.19","1","1","1.00","1"
"Reel Fishing Paradise 3D","3DS","2011","Sports","0.12","0","0.06","0.01","0.19","57","5","1.00","1"
"Conflict: Denied Ops","PS3","2008","Shooter","0.05","0.1","0","0.03","0.19","51","28","3.10","25"
"Binary Domain","X360","2012","Action","0.09","0.06","0.02","0.02","0.19","74","43","8.00","185"
"Kuma-Tomo","3DS","2013","Misc","0","0","0.19","0","0.19","1","1","1.00","1"
"IL-2 Sturmovik: Birds of Prey","PSP","2009","Simulation","0.08","0.07","0","0.04","0.19","1","1","3.00","7"
"ThunderStrike 2","PS","1994","Simulation","0.1","0.07","0","0.01","0.19","1","1","1.00","1"
"Magical ZhuZhu Princess: Carriages & Castles","DS","2011","Simulation","0.13","0.04","0","0.01","0.19","1","1","1.00","1"
"Pro Yaky? Spirits 2012","PS3","2012","Sports","0","0","0.19","0","0.19","1","1","1.00","1"
"Super Real Mahjong P V","SAT","1995","Misc","0","0","0.19","0","0.19","1","1","1.00","1"
"Thomas the Tank Engine & Friends","GBA","2004","Adventure","0.13","0.05","0","0","0.19","1","1","1.00","1"
"Penguin no Mondai X: Tenkuu no 7 Senshi","DS","2009","Action","0","0","0.19","0","0.19","1","1","1.00","1"
"The Scorpion King: Sword of Osiris","GBA","2002","Action","0.13","0.05","0","0","0.19","72","14","1.00","1"
"Jeep Thrills","Wii","2008","Racing","0.17","0","0","0.01","0.19","1","1","5.70","9"
"Ice Age: Dawn of the Dinosaurs","PS3","2009","Action","0.13","0.03","0","0.02","0.19","67","23","7.30","7"
"Bubsy 3D","PS","1996","Platform","0.1","0.07","0","0.01","0.19","1","1","1.00","1"
"NCAA Final Four 2001","PS2","2000","Sports","0.09","0.07","0","0.02","0.19","49","10","1.00","1"
"Robin Hood: Defender of the Crown","PS2","2003","Strategy","0.09","0.07","0","0.02","0.19","59","18","5.60","5"
"Face Training","DS","2007","Misc","0","0","0.19","0","0.19","1","1","1.00","1"
"Barbie Horse Adventures: Riding Camp","Wii","2008","Sports","0.17","0","0","0.01","0.19","1","1","1.00","1"
"SD Gundam GX","SNES","1994","Strategy","0","0","0.19","0","0.19","1","1","1.00","1"
"R-Type Final","PS2","2003","Shooter","0.09","0.07","0","0.02","0.19","79","50","9.10","21"
"Jackie Chan Adventures: Legend of the Dark Hand","GBA","2001","Action","0.13","0.05","0","0","0.19","1","1","1.00","1"
"Bolt","PS3","2008","Adventure","0.12","0.04","0","0.02","0.19","59","11","6.80","6"
"Mathews Bowhunting","Wii","2010","Sports","0.18","0","0","0.01","0.19","1","1","1.00","1"
"Phantasy Star Nova","PSV","2014","Role-Playing","0","0","0.19","0","0.19","1","1","1.00","1"
"Pro Evolution Soccer 2014","3DS","2013","Action","0","0","0.19","0","0.19","1","1","1.00","1"
"Sega GT 2002","XB","2002","Racing","0.12","0.03","0.03","0.01","0.19","82","24","8.20","24"
"F1 2011","PC","2011","Racing","0","0.15","0","0.04","0.19","83","10","7.20","83"
"Air Conflicts: Secret Wars","PS3","2011","Simulation","0.1","0.06","0","0.03","0.19","51","8","1.00","1"
"Ty the Tasmanian Tiger 3: Night of the Quinkan","PS2","2005","Action","0.09","0.07","0","0.02","0.19","68","13","8.10","15"
"Family Feud: 2012 Edition","Wii","2011","Misc","0.17","0","0","0.01","0.19","1","1","1.00","1"
"Samurai Warriors 2: Empires","PS2","2006","Action","0","0","0.19","0","0.19","55","20","7.30","7"
"Blood Omen 2","XB","2002","Action","0.14","0.04","0","0.01","0.19","76","22","9.00","9"
"Earth Defense Force: Insect Armageddon","X360","2011","Shooter","0.1","0.04","0.03","0.01","0.19","68","40","8.20","45"
"Major League Baseball 2K10","PS3","2010","Sports","0.17","0","0","0.01","0.19","74","19","5.30","4"
"Saints Row IV","PC","2013","Action","0.11","0.06","0","0.02","0.19","86","45","7.40","1543"
"J-League Pro Soccer Club o Tsukurou! 5","PS2","2007","Sports","0","0","0.19","0","0.19","1","1","1.00","1"
"Harry Potter: Quidditch World Cup","XB","2003","Sports","0.14","0.04","0","0.01","0.19","69","14","7.50","4"
"Dance Central: Spotlight","XOne","2014","Misc","0.15","0.03","0","0","0.19","74","19","7.00","47"
"Little Battlers eXperience W","PSP","2012","Role-Playing","0","0","0.19","0","0.19","1","1","1.00","1"
"Warriors: Legends of Troy","PS3","2011","Action","0.06","0.04","0.07","0.02","0.19","44","22","7.00","24"
"La Pucelle: Tactics","PS2","2002","Role-Playing","0.09","0.07","0","0.02","0.19","79","47","8.50","15"
"Arcania: Gothic 4","PC","2010","Role-Playing","0.09","0.08","0","0.02","0.19","63","25","4.40","307"
"NBA Ballers: Chosen One","X360","2008","Sports","0.17","0","0","0.01","0.19","55","42","4.20","15"
"Tiger Woods PGA Tour 07","XB","2006","Sports","0.13","0.05","0","0.01","0.19","81","21","6.80","6"
"Disney's Meet the Robinsons","Wii","2007","Action","0.17","0","0","0.01","0.19","62","11","6.30","4"
"Sword Art Online: Hollow Realization","PS4","2016","Role-Playing","0.06","0.02","0.1","0.02","0.19","69","32","7.70","52"
"Star Wars: The Clone Wars & Tetris Worlds","XB","2002","Misc","0.14","0.04","0","0.01","0.19","1","1","1.00","1"
"The Lord of the Rings: War in the North","PC","2011","Action","0.05","0.11","0","0.03","0.19","66","21","7.10","289"
"The Bee Game","DS","2007","Adventure","0.17","0","0","0.01","0.19","1","1","1.00","1"
"SBK X: Superbike World Championship","X360","2010","Racing","0.1","0.07","0","0.02","0.19","74","13","8.30","8"
"Rango: The Video Game","PS3","2011","Action","0.07","0.09","0","0.03","0.19","65","23","6.40","7"
"EverQuest Online Adventures: Frontiers","PS2","2003","Role-Playing","0.09","0.07","0","0.02","0.19","77","16","8.50","17"
"Godzilla (2015)","PS4","2014","Action","0.11","0.03","0.02","0.03","0.19","1","1","1.00","1"
"Fairy Fencer F","PS3","2013","Role-Playing","0.05","0.03","0.09","0.02","0.19","65","31","7.40","50"
"Shadows of the Damned","X360","2011","Action","0.1","0.06","0.01","0.02","0.19","76","76","8.40","139"
"Treasures of the Deep","PS","1997","Action","0.1","0.07","0","0.01","0.19","1","1","1.00","1"
"Phantasy Star Online Ver. 2","DC","2001","Role-Playing","0","0","0.19","0","0.19","80","10","8.90","18"
"Cabela's Survival: Shadows of Katmai","PS3","2011","Sports","0.11","0.05","0","0.02","0.18","1","1","7.40","5"
"Hot Wheels: Battle Force 5","Wii","2009","Racing","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Go Play: Lumberjacks","Wii","2009","Simulation","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Fight Club","PS2","2004","Fighting","0.09","0.07","0","0.02","0.18","36","28","4.40","22"
"Samurai Warriors: State of War","PSP","2005","Action","0.07","0","0.11","0.01","0.18","64","30","6.40","8"
"Cabela's Survival: Shadows of Katmai","X360","2011","Sports","0.14","0.03","0","0.01","0.18","1","1","3.50","6"
"Dragon Blade: Wrath of Fire","Wii","2007","Action","0.17","0","0","0.01","0.18","51","19","7.50","17"
"Guilty Gear Xrd: Sign","PS3","2014","Fighting","0.1","0","0.07","0.02","0.18","1","1","1.00","1"
"Dance Dance Revolution: Disney Grooves","Wii","2009","Simulation","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Camping Mama: Outdoor Adventures","DS","2011","Simulation","0.12","0.05","0","0.02","0.18","51","5","1.00","1"
"Harvest Moon: A Wonderful Life Special Edition","PS2","2004","Simulation","0.09","0.07","0","0.02","0.18","1","1","8.90","54"
"Sports Illustrated for Kids: Football","GBA","2003","Sports","0.13","0.05","0","0","0.18","1","1","1.00","1"
"The Munchables","Wii","2009","Action","0.17","0","0","0.01","0.18","71","33","8.20","5"
"How to Train Your Dragon 2","Wii","2014","Adventure","0.04","0.13","0","0.01","0.18","1","1","1.00","1"
".hack//Quarantine Part 4: The Final Chapter","PS2","2003","Role-Playing","0.09","0.07","0","0.02","0.18","1","1","1.00","1"
"The Smurfs 2","DS","2013","Platform","0","0.17","0","0.01","0.18","1","1","1.00","1"
"Close Combat: First to Fight","XB","2005","Shooter","0.14","0.04","0","0.01","0.18","69","46","7.80","10"
"Indiana Jones and the Emperor's Tomb","XB","2003","Action","0.14","0.04","0","0.01","0.18","73","43","8.60","17"
"Buffy the Vampire Slayer: Chaos Bleeds","PS2","2003","Action","0.09","0.07","0","0.02","0.18","72","27","8.90","47"
"Remington Super Slam Hunting: North America","Wii","2010","Sports","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Reel Fishing II","PS","2000","Sports","0.1","0.07","0","0.01","0.18","1","1","1.00","1"
"Battle of Giants: Dinosaurs Strike","Wii","2010","Strategy","0.14","0.03","0","0.01","0.18","1","1","1.00","1"
"Ty the Tasmanian Tiger","XB","2002","Platform","0.14","0.04","0","0.01","0.18","68","13","8.50","11"
"Imagine: Babyz Fashion","DS","2009","Simulation","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Dead or Alive","SAT","1997","Fighting","0","0","0.18","0","0.18","1","1","1.00","1"
"Active Health with Carol Vorderman","DS","2009","Sports","0","0.18","0","0.01","0.18","1","1","1.00","1"
"Driving Emotion Type-S","PS2","2000","Racing","0.04","0.03","0.11","0.01","0.18","55","18","1.00","1"
"Heavy Fire: Afghanistan","PS3","2011","Shooter","0.17","0","0","0.02","0.18","39","5","3.30","16"
"Siren","PS2","2003","Adventure","0.09","0.07","0","0.02","0.18","72","48","7.80","41"
"NARC","XB","2005","Shooter","0.14","0.04","0","0.01","0.18","51","27","2.80","6"
"Driver: San Francisco","PC","2011","Racing","0.05","0.1","0","0.03","0.18","80","11","7.00","332"
"Just Dance 2017","Wii","2016","Misc","0.06","0.11","0","0.01","0.18","1","1","1.00","1"
"NASCAR Unleashed","Wii","2011","Racing","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Super Robot Taisen J","GBA","2005","Strategy","0","0","0.18","0","0.18","1","1","1.00","1"
"Shape Up","XOne","2014","Misc","0.08","0.09","0","0.01","0.18","58","6","8.30","28"
"Nep League DS","DS","2007","Sports","0","0","0.18","0","0.18","1","1","1.00","1"
"Happy Cooking","DS","2006","Simulation","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Ar tonelico 2: Melody of Metafalica","PS2","2007","Role-Playing","0.04","0.03","0.11","0.01","0.18","1","1","1.00","1"
"Cars: Race-O-Rama","PS3","2009","Racing","0.14","0.03","0","0.02","0.18","61","5","1.00","1"
"Jewel Master: Cradle of Athena","DS","2010","Puzzle","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Saw II: Flesh & Blood","PS3","2010","Action","0.1","0.06","0","0.02","0.18","1","1","1.00","1"
"Hidden Mysteries: Vampire Secrets","DS","2010","Adventure","0.06","0.11","0","0.02","0.18","1","1","1.00","1"
"Casper: Friends Around the World","PS","2000","Action","0.1","0.07","0","0.01","0.18","1","1","1.00","1"
"Jurassic Park III: Island Attack","GBA","2001","Adventure","0.13","0.05","0","0","0.18","57","6","1.00","1"
"Jikkyou Powerful Pro Baseball 2016","PSV","2016","Sports","0","0","0.18","0","0.18","1","1","1.00","1"
"Star Trek: Legacy","X360","2006","Simulation","0.14","0.02","0","0.01","0.18","64","41","5.50","42"
"Tekken Tag Tournament 2","WiiU","2012","Fighting","0.09","0.07","0.01","0.01","0.18","1","1","1.00","1"
"GameBoy Wars","GB","1991","Strategy","0","0","0.18","0","0.18","1","1","1.00","1"
"Amplitude","PS2","2003","Misc","0.09","0.07","0","0.02","0.18","86","35","8.80","26"
"Disgaea DS","DS","2008","Role-Playing","0.11","0.01","0.05","0.01","0.18","82","32","7.50","35"
"Gauntlet: Seven Sorrows","XB","2005","Role-Playing","0.14","0.04","0","0.01","0.18","61","36","7.80","4"
"AirForce Delta Storm","XB","2001","Shooter","0.14","0.04","0","0.01","0.18","61","21","7.10","7"
"Metal Gear Solid V: The Phantom Pain","X360","2015","Action","0.12","0.04","0","0.02","0.18","1","1","7.20","159"
"Monopoly Party","XB","2002","Misc","0.14","0.04","0","0.01","0.18","1","1","1.00","1"
"Fear Effect 2: Retro Helix","PS","2001","Action","0.1","0.07","0","0.01","0.18","84","15","8.90","17"
"Chaotic: Shadow Warriors","DS","2009","Action","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Ninja Gaiden 3","WiiU","2012","Action","0.14","0.03","0","0.02","0.18","1","1","1.00","1"
"Atelier Shallie: Alchemists of the Dusk Sea","PS3","2014","Role-Playing","0.06","0.02","0.08","0.02","0.18","76","26","7.70","44"
"Mahjong: Journey Quest for Tikal","DS","2008","Puzzle","0.15","0.02","0","0.01","0.18","1","1","1.00","1"
"Call of Duty: World at War","PC","2008","Shooter","0.02","0.14","0","0.03","0.18","83","36","7.50","721"
"CSI: Fatal Conspiracy","PS3","2010","Adventure","0.11","0.05","0","0.02","0.18","39","5","5.60","13"
"Chocobo no Fushigi Dungeon for WonderSwan","WS","1999","Role-Playing","0","0","0.18","0","0.18","1","1","1.00","1"
"International Superstar Soccer 2000 (JP weekly sales)","N64","1999","Sports","0","0","0.18","0","0.18","1","1","1.00","1"
"Ringling Bros. and Barnum & Bailey Circus","Wii","2009","Action","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Klonoa: Door to Phantomile","PS","1997","Platform","0","0","0.17","0.01","0.18","1","1","1.00","1"
"Vietcong: Purple Haze","PS2","2004","Shooter","0.09","0.07","0","0.02","0.18","48","11","4.30","6"
"Atari Anniversary Advance","GBA","2002","Misc","0.13","0.05","0","0","0.18","75","7","1.00","1"
"Summer Athletics: The Ultimate Challenge","PS2","2008","Sports","0","0","0","0.18","0.18","1","1","1.00","1"
"Hatsune Miku and Future Stars: Project Mirai","3DS","2012","Misc","0","0","0.18","0","0.18","1","1","1.00","1"
"X-Men Origins: Wolverine","PS2","2009","Action","0.13","0","0","0.05","0.18","1","1","6.80","16"
"Syndicate","X360","2012","Shooter","0.1","0.06","0","0.02","0.18","74","65","7.10","174"
"Zumba Fitness Rush","X360","2012","Sports","0","0.16","0","0.02","0.18","73","7","6.20","5"
"Call of Juarez","X360","2007","Shooter","0.14","0.02","0","0.01","0.18","71","37","6.90","46"
"TalkMan (Japan)","PSP","2005","Misc","0","0","0.18","0","0.18","1","1","1.00","1"
"Ghostbusters: The Video Game","PSP","2009","Action","0.16","0.01","0","0.02","0.18","54","13","4.70","13"
"Bloody Roar: Primal Fury","GC","2002","Fighting","0.14","0.04","0","0","0.18","75","27","8.50","20"
"Mega Man Soccer","SNES","1993","Sports","0.04","0.01","0.13","0","0.18","1","1","1.00","1"
"MotoGP","Wii","2009","Racing","0.05","0.11","0","0.02","0.18","44","10","5.40","11"
"Mushroom Men: The Spore Wars","Wii","2008","Action","0.16","0.01","0","0.01","0.18","72","37","8.70","33"
"Saint Seiya: Soldiers' Soul","PS4","2015","Fighting","0","0.12","0.04","0.02","0.18","59","30","7.80","45"
"Brunswick Pro Bowling","PS3","2010","Sports","0.1","0.05","0","0.02","0.18","47","6","1.00","1"
"LEGO Harry Potter: Years 5-7","PSV","2012","Action","0.07","0.07","0","0.03","0.18","64","19","6.80","21"
"FIFA Soccer 07","GC","2006","Sports","0.14","0.04","0","0","0.18","1","1","1.00","1"
"Rabbids Party Collection","Wii","2010","Misc","0","0.16","0","0.02","0.18","1","1","1.00","1"
"Corpse Party: Blood Drive","PSV","2014","Adventure","0.08","0.01","0.06","0.03","0.18","60","19","7.40","58"
"The Last Airbender","DS","2010","Action","0.13","0.04","0","0.01","0.18","69","6","7.00","4"
"My Fitness Coach 2: Exercise and Nutrition","Wii","2009","Sports","0.13","0.03","0","0.01","0.18","1","1","1.00","1"
"Pok̩mon I Choose You / Squirtle Squad Game Boy Advance Video","GBA","2004","Misc","0.13","0.05","0","0","0.18","1","1","1.00","1"
"Vampire Savior: The Lord of Vampire","SAT","1998","Fighting","0","0","0.18","0","0.18","1","1","1.00","1"
"Backbreaker","X360","2009","Sports","0.17","0","0","0.01","0.18","54","29","7.60","68"
"UFC Personal Trainer: The Ultimate Fitness System","Wii","2011","Sports","0.11","0.06","0","0.02","0.18","54","5","1.00","1"
"MotoGP 14 ","PS4","2014","Racing","0.04","0.11","0","0.03","0.18","73","28","6.40","26"
"Shrek SuperSlam","DS","2005","Action","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Alone in the Dark","Wii","2008","Adventure","0.09","0.08","0","0.02","0.18","39","10","4.40","34"
"Super Robot Taisen UX","3DS","2013","Role-Playing","0","0","0.18","0","0.18","1","1","1.00","1"
"Skylanders Imaginators","WiiU","2016","Platform","0.09","0.08","0","0.02","0.18","76","4","1.00","1"
"Six Flags Fun Park","DS","2008","Misc","0.17","0","0","0.01","0.18","34","4","7.00","4"
"Test Drive Off-Road Wide Open","XB","2001","Racing","0.15","0.03","0","0.01","0.18","64","21","8.30","9"
"Jeopardy!","DS","2010","Misc","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Pro Yaky? Spirits 2011","PS3","2011","Sports","0","0","0.18","0","0.18","1","1","1.00","1"
"Doctor Who: Return to Earth","Wii","2010","Adventure","0","0.16","0","0.02","0.18","1","1","1.00","1"
"Battle Commander: Hachibushu Shura no Heihou","SNES","1991","Strategy","0","0","0.18","0","0.18","1","1","1.00","1"
"WWE All Stars","PSP","2011","Fighting","0.12","0.04","0","0.03","0.18","70","4","6.60","5"
"Jampack Vol. 1","PS","1996","Misc","0.1","0.07","0","0.01","0.18","1","1","1.00","1"
"Bad Boys: Miami Takedown","XB","2004","Shooter","0.14","0.04","0","0.01","0.18","35","20","5.90","9"
"Valhalla Knights 3","PSV","2013","Role-Playing","0.04","0.01","0.12","0.01","0.18","48","19","6.80","56"
"Mega Man X: Command Mission","PS2","2004","Role-Playing","0.09","0.07","0","0.02","0.18","69","27","7.10","18"
"Tokyo Xtreme Racer DRIFT","PS2","2003","Racing","0.09","0.07","0","0.02","0.18","59","13","8.60","15"
"Moon","PS","1997","Adventure","0","0","0.17","0.01","0.18","1","1","1.00","1"
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe","DS","2005","Action","0.15","0.01","0","0.01","0.18","65","20","7.50","4"
"Cabela's Big Game Hunter 2005 Adventures","XB","2004","Sports","0.13","0.04","0","0.01","0.18","65","5","8.30","6"
"Re-Volt","N64","1999","Racing","0.14","0.04","0","0","0.18","1","1","1.00","1"
"Sesame Street: Elmo's Letter Adventure","N64","1999","Misc","0.14","0.04","0","0","0.18","1","1","1.00","1"
"Senran Kagura: Estival Versus","PSV","2015","Action","0.04","0.02","0.09","0.02","0.18","71","4","7.40","34"
"Might & Magic: Clash of Heroes","DS","2009","Role-Playing","0.15","0.02","0","0.01","0.18","1","1","1.00","1"
"GRID Autosport","PS3","2014","Racing","0.05","0.09","0.01","0.03","0.18","75","35","6.80","62"
"Gokujou Parodius","SNES","1994","Shooter","0","0","0.18","0","0.18","1","1","1.00","1"
"Half-Minute Hero","PSP","2009","Role-Playing","0.08","0.01","0.07","0.01","0.18","84","41","7.80","38"
"Gauntlet: Dark Legacy","GC","2002","Action","0.14","0.04","0","0","0.18","60","20","9.10","16"
"A.C.E.: Another Century's Episode 2","PS2","2006","Simulation","0","0","0.18","0","0.18","1","1","1.00","1"
"The Chronicles of Narnia: Prince Caspian","X360","2008","Action","0.16","0.01","0","0.01","0.18","56","24","7.50","13"
"Company of Heroes: Anthology","PC","2009","Strategy","0","0.15","0","0.03","0.18","1","1","1.00","1"
"Shadow The Hedgehog","XB","2005","Platform","0.13","0.04","0","0.01","0.18","49","24","5.50","36"
"Daigasso! Band Brothers P","3DS","2013","Misc","0","0","0.18","0","0.18","1","1","1.00","1"
"Batman: Vengeance","GBA","2001","Adventure","0.13","0.05","0","0","0.18","68","8","1.00","1"
"Soccer Tsuku Tokudai Gou: J-League Pro Soccer Club o Tsukurou","DC","2000","Sports","0","0","0.18","0","0.18","1","1","1.00","1"
"The Adventures of Cookie & Cream","PS2","2000","Puzzle","0.09","0.07","0","0.02","0.18","1","1","1.00","1"
"World of Outlaws: Sprint Cars","X360","2010","Racing","0.17","0","0","0.01","0.18","57","4","8.10","10"
"Van Helsing","XB","2007","Action","0.13","0.04","0","0.01","0.18","63","32","7.60","8"
"Grand Slam Tennis 2","X360","2012","Sports","0.1","0.06","0","0.02","0.18","71","45","5.10","14"
"Ben 10 Ultimate Alien: Cosmic Destruction","X360","2010","Platform","0.1","0.06","0","0.02","0.18","51","5","5.30","4"
"Pure Futbol","X360","2010","Sports","0.08","0.08","0","0.02","0.18","38","20","7.90","29"
"Spider-Man: Friend or Foe","PSP","2007","Action","0.16","0","0","0.01","0.18","58","7","4.40","9"
"Sing4: The Hits Edition","Wii","2011","Misc","0.17","0","0","0.01","0.18","1","1","1.00","1"
"Gun","GC","2005","Shooter","0.14","0.04","0","0","0.18","77","27","8.60","8"
"SoulCalibur Legends","Wii","2007","Action","0.16","0.01","0","0.01","0.18","52","35","5.70","24"
"Rio","Wii","2011","Misc","0.13","0.03","0","0.01","0.18","1","1","1.00","1"
"F1 Challenge","SAT","1994","Racing","0","0","0.18","0","0.18","1","1","1.00","1"
"Squeeballs Party","Wii","2009","Puzzle","0.17","0","0","0.01","0.18","59","16","1.00","1"
"Metal Gear Ac!d 2","PSP","2005","Strategy","0.11","0","0.05","0.01","0.18","1","1","1.00","1"
"Shadow Madness","PS","1999","Action","0.1","0.07","0","0.01","0.18","1","1","1.00","1"
"Aliens: Colonial Marines","PC","2013","Shooter","0.1","0.06","0","0.02","0.18","45","40","3.50","1156"
"Tiger Woods PGA Tour 2004","GBA","2003","Sports","0.13","0.05","0","0","0.18","75","5","7.50","4"
"The Game of Life / Yahtzee / Payday","GBA","2005","Misc","0.13","0.05","0","0","0.18","1","1","1.00","1"
"FIFA Soccer 11","PC","2010","Sports","0","0.14","0","0.04","0.18","83","16","7.70","102"
"American Chopper 2: Full Throttle","PS2","2005","Racing","0.09","0.07","0","0.02","0.18","1","1","8.10","9"
"Borderlands","PC","2009","Shooter","0.01","0.14","0","0.03","0.18","81","37","7.80","1363"
"de Blob 2","Wii","2011","Platform","0.11","0.06","0","0.02","0.18","79","20","8.10","26"
"Silent Hill 4: The Room","XB","2004","Action","0.14","0.04","0","0.01","0.18","76","43","8.30","26"
"Commandos 2: Men of Courage","PS2","2002","Strategy","0.09","0.07","0","0.02","0.18","67","19","6.80","11"
"Remember Me","X360","2013","Action","0.1","0.06","0","0.02","0.18","70","42","7.50","267"
